LOT_NAME,WAFER_ID,item001MIN,item001MAX,item001Value,item001Median,item001Count,item001STD,item001IQR,item001+Spec,item001-Spec,item001+Limit,item001-Limit,履歴測定｜X｜装置ID,履歴測定｜X｜JOB,履歴MES｜X｜装置ID,履歴MES｜X｜レシピNo
LOT_003,WAF_003_05,0.888,1.77,1.281,1.26,19,0.149,0.148,2.5,0.5,3.0,0.0,MEAS_EQ_003,JOB_05,MES_EQ_003,REC_05
LOT_003,WAF_003_06,,,,,,,,2.5,0.5,3.0,0.0,,,,
LOT_003,WAF_003_07,0.86,2.135,1.597,1.613,11,0.109,0.186,2.5,0.5,3.0,0.0,MEAS_EQ_003,JOB_07,MES_EQ_003,REC_07
LOT_003,WAF_003_08,1.046,2.253,1.69,1.687,17,0.161,0.29,2.5,0.5,3.0,0.0,MEAS_EQ_003,JOB_08,MES_EQ_003,REC_08
LOT_003,WAF_003_09,,,,,,,,2.5,0.5,3.0,0.0,,,,
LOT_003,WAF_003_10,0.988,1.901,1.505,1.49,15,0.107,0.233,2.5,0.5,3.0,0.0,MEAS_EQ_003,JOB_10,MES_EQ_003,REC_10
LOT_003,WAF_003_11,,,,,,,,2.5,0.5,3.0,0.0,,,,
LOT_003,WAF_003_12,0.839,1.705,1.217,1.234,12,0.136,0.265,2.5,0.5,3.0,0.0,MEAS_EQ_003,JOB_12,MES_EQ_003,REC_12
LOT_003,WAF_003_13,,,,,,,,2.5,0.5,3.0,0.0,,,,
LOT_003,WAF_003_14,0.872,1.937,1.366,1.338,20,0.088,0.199,2.5,0.5,3.0,0.0,MEAS_EQ_003,JOB_14,MES_EQ_003,REC_14
LOT_003,WAF_003_15,,,,,,,,2.5,0.5,3.0,0.0,,,,
LOT_003,WAF_003_16,,,,,,,,2.5,0.5,3.0,0.0,,,,
LOT_003,WAF_003_17,,,,,,,,2.5,0.5,3.0,0.0,,,,
LOT_003,WAF_003_18,0.874,1.791,1.393,1.437,10,0.181,0.23,2.5,0.5,3.0,0.0,MEAS_EQ_003,JOB_18,MES_EQ_003,REC_18
LOT_003,WAF_003_19,0.886,2.151,1.589,1.599,15,0.143,0.262,2.5,0.5,3.0,0.0,MEAS_EQ_003,JOB_19,MES_EQ_003,REC_19
LOT_003,WAF_003_20,,,,,,,,2.5,0.5,3.0,0.0,,,,
LOT_003,WAF_003_21,,,,,,,,2.5,0.5,3.0,0.0,,,,
LOT_003,WAF_003_22,,,,,,,,2.5,0.5,3.0,0.0,,,,
LOT_003,WAF_003_23,0.817,2.001,1.353,1.338,17,0.099,0.159,2.5,0.5,3.0,0.0,MEAS_EQ_003,JOB_23,MES_EQ_003,REC_23
LOT_003,WAF_003_24,1.055,2.31,1.647,1.639,17,0.163,0.284,2.5,0.5,3.0,0.0,MEAS_EQ_003,JOB_24,MES_EQ_003,REC_24
LOT_003,WAF_003_25,,,,,,,,2.5,0.5,3.0,0.0,,,,
LOT_004,,0.841,2.219,1.496,1.474,163,0.156,0.191,2.5,0.5,3.0,0.0,,,,
LOT_004,WAF_004_01,,,,,,,,2.5,0.5,3.0,0.0,,,,
LOT_004,WAF_004_02,,,,,,,,2.5,0.5,3.0,0.0,,,,
LOT_004,WAF_004_03,,,,,,,,2.5,0.5,3.0,0.0,,,,
LOT_004,WAF_004_04,1.05,1.872,1.439,1.449,18,0.104,0.139,2.5,0.5,3.0,0.0,MEAS_EQ_004,JOB_04,MES_EQ_004,REC_04
LOT_004,WAF_004_05,,,,,,,,2.5,0.5,3.0,0.0,,,,
LOT_004,WAF_004_06,,,,,,,,2.5,0.5,3.0,0.0,,,,
LOT_004,WAF_004_07,0.938,2.148,1.461,1.425,16,0.128,0.152,2.5,0.5,3.0,0.0,MEAS_EQ_004,JOB_07,MES_EQ_004,REC_07
LOT_004,WAF_004_08,,,,,,,,2.5,0.5,3.0,0.0,,,,
LOT_004,WAF_004_09,1.006,2.06,1.521,1.474,5,0.138,0.259,2.5,0.5,3.0,0.0,MEAS_EQ_004,JOB_09,MES_EQ_004,REC_09
LOT_004,WAF_004_10,0.993,2.138,1.602,1.603,17,0.199,0.259,2.5,0.5,3.0,0.0,MEAS_EQ_004,JOB_10,MES_EQ_004,REC_10
LOT_004,WAF_004_11,0.888,2.047,1.558,1.551,15,0.148,0.199,2.5,0.5,3.0,0.0,MEAS_EQ_004,JOB_11,MES_EQ_004,REC_11
LOT_004,WAF_004_12,0.848,2.047,1.384,1.427,14,0.194,0.163,2.5,0.5,3.0,0.0,MEAS_EQ_004,JOB_12,MES_EQ_004,REC_12
LOT_004,WAF_004_13,1.105,2.219,1.737,1.784,5,0.087,0.189,2.5,0.5,3.0,0.0,MEAS_EQ_004,JOB_13,MES_EQ_004,REC_13
LOT_004,WAF_004_14,,,,,,,,2.5,0.5,3.0,0.0,,,,
LOT_004,WAF_004_15,1.101,2.1,1.627,1.639,17,0.198,0.144,2.5,0.5,3.0,0.0,MEAS_EQ_004,JOB_15,MES_EQ_004,REC_15
LOT_004,WAF_004_16,,,,,,,,2.5,0.5,3.0,0.0,,,,
LOT_004,WAF_004_17,1.134,1.96,1.546,1.531,10,0.187,0.289,2.5,0.5,3.0,0.0,MEAS_EQ_004,JOB_17,MES_EQ_004,REC_17
LOT_004,WAF_004_18,0.841,1.825,1.27,1.233,14,0.115,0.127,2.5,0.5,3.0,0.0,MEAS_EQ_004,JOB_18,MES_EQ_004,REC_18
LOT_004,WAF_004_19,,,,,,,,2.5,0.5,3.0,0.0,,,,
LOT_004,WAF_004_20,,,,,,,,2.5,0.5,3.0,0.0,,,,
LOT_004,WAF_004_21,,,,,,,,2.5,0.5,3.0,0.0,,,,
LOT_004,WAF_004_22,0.993,2.141,1.494,1.509,6,0.2,0.276,2.5,0.5,3.0,0.0,MEAS_EQ_004,JOB_22,MES_EQ_004,REC_22
LOT_004,WAF_004_23,0.95,1.792,1.338,1.305,16,0.168,0.111,2.5,0.5,3.0,0.0,MEAS_EQ_004,JOB_23,MES_EQ_004,REC_23
LOT_004,WAF_004_24,,,,,,,,2.5,0.5,3.0,0.0,,,,
LOT_004,WAF_004_25,1.057,1.885,1.468,1.451,10,0.167,0.181,2.5,0.5,3.0,0.0,MEAS_EQ_004,JOB_25,MES_EQ_004,REC_25
LOT_005,,0.806,2.358,1.518,1.597,165,0.126,0.204,2.5,0.5,3.0,0.0,,,,
LOT_005,WAF_005_01,0.838,1.747,1.273,1.254,18,0.104,0.109,2.5,0.5,3.0,0.0,MEAS_EQ_005,JOB_01,MES_EQ_005,REC_01
LOT_005,WAF_005_02,,,,,,,,2.5,0.5,3.0,0.0,,,,
LOT_005,WAF_005_03,,,,,,,,2.5,0.5,3.0,0.0,,,,
LOT_005,WAF_005_04,1.092,2.236,1.649,1.672,5,0.135,0.271,2.5,0.5,3.0,0.0,MEAS_EQ_005,JOB_04,MES_EQ_005,REC_04
LOT_005,WAF_005_05,,,,,,,,2.5,0.5,3.0,0.0,,,,
LOT_005,WAF_005_06,0.806,1.609,1.125,1.084,20,0.196,0.136,2.5,0.5,3.0,0.0,MEAS_EQ_005,JOB_06,MES_EQ_005,REC_06
LOT_005,WAF_005_07,0.965,2.183,1.616,1.571,8,0.156,0.178,2.5,0.5,3.0,0.0,MEAS_EQ_005,JOB_07,MES_EQ_005,REC_07
LOT_005,WAF_005_08,,,,,,,,2.5,0.5,3.0,0.0,,,,
LOT_005,WAF_005_09,,,,,,,,2.5,0.5,3.0,0.0,,,,
LOT_005,WAF_005_10,,,,,,,,2.5,0.5,3.0,0.0,,,,
LOT_005,WAF_005_11,1.164,2.358,1.665,1.664,14,0.133,0.164,2.5,0.5,3.0,0.0,MEAS_EQ_005,JOB_11,MES_EQ_005,REC_11
LOT_005,WAF_005_12,,,,,,,,2.5,0.5,3.0,0.0,,,,
LOT_005,WAF_005_13,,,,,,,,2.5,0.5,3.0,0.0,,,,
LOT_005,WAF_005_14,0.983,2.219,1.602,1.646,9,0.097,0.167,2.5,0.5,3.0,0.0,MEAS_EQ_005,JOB_14,MES_EQ_005,REC_14
LOT_005,WAF_005_15,,,,,,,,2.5,0.5,3.0,0.0,,,,
LOT_005,WAF_005_16,1.148,2.264,1.661,1.628,19,0.193,0.144,2.5,0.5,3.0,0.0,MEAS_EQ_005,JOB_16,MES_EQ_005,REC_16
LOT_005,WAF_005_17,0.948,2.077,1.58,1.57,13,0.062,0.14,2.5,0.5,3.0,0.0,MEAS_EQ_005,JOB_17,MES_EQ_005,REC_17
LOT_005,WAF_005_18,1.17,2.151,1.725,1.741,12,0.185,0.261,2.5,0.5,3.0,0.0,MEAS_EQ_005,JOB_18,MES_EQ_005,REC_18
LOT_005,WAF_005_19,,,,,,,,2.5,0.5,3.0,0.0,,,,
LOT_005,WAF_005_20,0.92,1.724,1.373,1.398,9,0.059,0.222,2.5,0.5,3.0,0.0,MEAS_EQ_005,JOB_20,MES_EQ_005,REC_20
LOT_005,WAF_005_21,1.104,2.343,1.687,1.657,15,0.062,0.297,2.5,0.5,3.0,0.0,MEAS_EQ_005,JOB_21,MES_EQ_005,REC_21
LOT_005,WAF_005_22,,,,,,,,2.5,0.5,3.0,0.0,,,,
LOT_005,WAF_005_23,1.041,2.289,1.595,1.597,12,0.142,0.279,2.5,0.5,3.0,0.0,MEAS_EQ_005,JOB_23,MES_EQ_005,REC_23
LOT_005,WAF_005_24,0.809,1.661,1.186,1.223,11,0.114,0.283,2.5,0.5,3.0,0.0,MEAS_EQ_005,JOB_24,MES_EQ_005,REC_24
LOT_005,WAF_005_25,,,,,,,,2.5,0.5,3.0,0.0,,,,
LOT_006,,0.857,2.411,1.576,1.587,168,0.126,0.193,2.5,0.5,3.0,0.0,,,,
LOT_006,WAF_006_01,,,,,,,,2.5,0.5,3.0,0.0,,,,
LOT_006,WAF_006_02,,,,,,,,2.5,0.5,3.0,0.0,,,,
LOT_006,WAF_006_03,1.015,1.887,1.521,1.527,15,0.131,0.126,2.5,0.5,3.0,0.0,MEAS_EQ_006,JOB_03,MES_EQ_006,REC_03
LOT_006,WAF_006_04,0.883,2.043,1.441,1.479,6,0.129,0.133,2.5,0.5,3.0,0.0,MEAS_EQ_006,JOB_04,MES_EQ_006,REC_04
LOT_006,WAF_006_05,,,,,,,,2.5,0.5,3.0,0.0,,,,
LOT_006,WAF_006_06,1.168,2.411,1.843,1.845,11,0.098,0.134,2.5,0.5,3.0,0.0,MEAS_EQ_006,JOB_06,MES_EQ_006,REC_06
LOT_006,WAF_006_07,1.152,1.979,1.636,1.628,10,0.106,0.292,2.5,0.5,3.0,0.0,MEAS_EQ_006,JOB_07,MES_EQ_006,REC_07
LOT_006,WAF_006_08,,,,,,,,2.5,0.5,3.0,0.0,,,,
LOT_006,WAF_006_09,1.062,2.16,1.526,1.534,12,0.198,0.195,2.5,0.5,3.0,0.0,MEAS_EQ_006,JOB_09,MES_EQ_006,REC_09
LOT_006,WAF_006_10,0.892,1.881,1.347,1.354,14,0.092,0.207,2.5,0.5,3.0,0.0,MEAS_EQ_006,JOB_10,MES_EQ_006,REC_10
LOT_006,WAF_006_11,,,,,,,,2.5,0.5,3.0,0.0,,,,
LOT_006,WAF_006_12,1.143,2.331,1.709,1.751,16,0.189,0.263,2.5,0.5,3.0,0.0,MEAS_EQ_006,JOB_12,MES_EQ_006,REC_12
LOT_006,WAF_006_13,0.991,2.02,1.592,1.587,11,0.125,0.224,2.5,0.5,3.0,0.0,MEAS_EQ_006,JOB_13,MES_EQ_006,REC_13
LOT_006,WAF_006_14,0.942,1.887,1.381,1.368,18,0.119,0.221,2.5,0.5,3.0,0.0,MEAS_EQ_006,JOB_14,MES_EQ_006,REC_14
LOT_006,WAF_006_15,,,,,,,,2.5,0.5,3.0,0.0,,,,
LOT_006,WAF_006_16,0.857,1.985,1.413,1.456,9,0.055,0.175,2.5,0.5,3.0,0.0,MEAS_EQ_006,JOB_16,MES_EQ_006,REC_16
LOT_006,WAF_006_17,,,,,,,,2.5,0.5,3.0,0.0,,,,
LOT_006,WAF_006_18,1.141,2.301,1.629,1.657,12,0.152,0.212,2.5,0.5,3.0,0.0,MEAS_EQ_006,JOB_18,MES_EQ_006,REC_18
LOT_006,WAF_006_19,,,,,,,,2.5,0.5,3.0,0.0,,,,
LOT_006,WAF_006_20,,,,,,,,2.5,0.5,3.0,0.0,,,,
LOT_006,WAF_006_21,,,,,,,,2.5,0.5,3.0,0.0,,,,
LOT_006,WAF_006_22,0.993,2.252,1.688,1.731,19,0.099,0.148,2.5,0.5,3.0,0.0,MEAS_EQ_006,JOB_22,MES_EQ_006,REC_22
LOT_006,WAF_006_23,,,,,,,,2.5,0.5,3.0,0.0,,,,
LOT_006,WAF_006_24,1.133,2.321,1.761,1.791,15,0.143,0.178,2.5,0.5,3.0,0.0,MEAS_EQ_006,JOB_24,MES_EQ_006,REC_24
LOT_006,WAF_006_25,,,,,,,,2.5,0.5,3.0,0.0,,,,
LOT_007,,0.805,2.378,1.528,1.508,152,0.135,0.187,2.5,0.5,3.0,0.0,,,,
LOT_007,WAF_007_01,,,,,,,,2.5,0.5,3.0,0.0,,,,
LOT_007,WAF_007_02,0.805,1.669,1.22,1.194,10,0.148,0.212,2.5,0.5,3.0,0.0,MEAS_EQ_007,JOB_02,MES_EQ_007,REC_02
LOT_007,WAF_007_03,1.176,2.323,1.756,1.8,9,0.112,0.121,2.5,0.5,3.0,0.0,MEAS_EQ_007,JOB_03,MES_EQ_007,REC_03
LOT_007,WAF_007_04,,,,,,,,2.5,0.5,3.0,0.0,,,,
LOT_007,WAF_007_05,1.024,2.012,1.539,1.513,5,0.119,0.267,2.5,0.5,3.0,0.0,MEAS_EQ_007,JOB_05,MES_EQ_007,REC_05
LOT_007,WAF_007_06,,,,,,,,2.5,0.5,3.0,0.0,,,,
LOT_007,WAF_007_07,1.166,2.378,1.683,1.637,19,0.069,0.17,2.5,0.5,3.0,0.0,MEAS_EQ_007,JOB_07,MES_EQ_007,REC_07
LOT_007,WAF_007_08,1.027,2.304,1.727,1.767,13,0.062,0.107,2.5,0.5,3.0,0.0,MEAS_EQ_007,JOB_08,MES_EQ_007,REC_08
LOT_007,WAF_007_09,1.04,2.214,1.654,1.61,6,0.188,0.281,2.5,0.5,3.0,0.0,MEAS_EQ_007,JOB_09,MES_EQ_007,REC_09
LOT_007,WAF_007_10,1.082,1.885,1.472,1.441,12,0.177,0.225,2.5,0.5,3.0,0.0,MEAS_EQ_007,JOB_10,MES_EQ_007,REC_10
LOT_007,WAF_007_11,,,,,,,,2.5,0.5,3.0,0.0,,,,
LOT_007,WAF_007_12,0.906,2.073,1.423,1.43,17,0.126,0.147,2.5,0.5,3.0,0.0,MEAS_EQ_007,JOB_12,MES_EQ_007,REC_12
LOT_007,WAF_007_13,1.056,1.983,1.499,1.508,8,0.165,0.198,2.5,0.5,3.0,0.0,MEAS_EQ_007,JOB_13,MES_EQ_007,REC_13
LOT_007,WAF_007_14,,,,,,,,2.5,0.5,3.0,0.0,,,,
LOT_007,WAF_007_15,,,,,,,,2.5,0.5,3.0,0.0,,,,
LOT_007,WAF_007_16,,,,,,,,2.5,0.5,3.0,0.0,,,,
LOT_007,WAF_007_17,,,,,,,,2.5,0.5,3.0,0.0,,,,
LOT_007,WAF_007_18,1.072,2.01,1.514,1.474,18,0.197,0.141,2.5,0.5,3.0,0.0,MEAS_EQ_007,JOB_18,MES_EQ_007,REC_18
LOT_007,WAF_007_19,,,,,,,,2.5,0.5,3.0,0.0,,,,
LOT_007,WAF_007_20,,,,,,,,2.5,0.5,3.0,0.0,,,,
LOT_007,WAF_007_21,1.027,1.932,1.406,1.384,18,0.183,0.272,2.5,0.5,3.0,0.0,MEAS_EQ_007,JOB_21,MES_EQ_007,REC_21
LOT_007,WAF_007_22,1.001,1.811,1.399,1.443,12,0.091,0.103,2.5,0.5,3.0,0.0,MEAS_EQ_007,JOB_22,MES_EQ_007,REC_22
LOT_007,WAF_007_23,,,,,,,,2.5,0.5,3.0,0.0,,,,
LOT_007,WAF_007_24,0.983,2.094,1.576,1.528,5,0.118,0.183,2.5,0.5,3.0,0.0,MEAS_EQ_007,JOB_24,MES_EQ_007,REC_24
LOT_007,WAF_007_25,,,,,,,,2.5,0.5,3.0,0.0,,,,
LOT_008,,0.841,2.474,1.538,1.533,168,0.109,0.198,2.5,0.5,3.0,0.0,,,,
LOT_008,WAF_008_01,,,,,,,,2.5,0.5,3.0,0.0,,,,
LOT_008,WAF_008_02,,,,,,,,2.5,0.5,3.0,0.0,,,,
LOT_008,WAF_008_03,,,,,,,,2.5,0.5,3.0,0.0,,,,
LOT_008,WAF_008_04,1.19,2.294,1.715,1.74,20,0.079,0.266,2.5,0.5,3.0,0.0,MEAS_EQ_008,JOB_04,MES_EQ_008,REC_04
LOT_008,WAF_008_05,,,,,,,,2.5,0.5,3.0,0.0,,,,
LOT_008,WAF_008_06,,,,,,,,2.5,0.5,3.0,0.0,,,,
LOT_008,WAF_008_07,,,,,,,,2.5,0.5,3.0,0.0,,,,
LOT_008,WAF_008_08,,,,,,,,2.5,0.5,3.0,0.0,,,,
LOT_008,WAF_008_09,1.04,1.866,1.395,1.387,6,0.059,0.144,2.5,0.5,3.0,0.0,MEAS_EQ_008,JOB_09,MES_EQ_008,REC_09
LOT_008,WAF_008_10,0.854,2.108,1.563,1.594,11,0.134,0.25,2.5,0.5,3.0,0.0,MEAS_EQ_008,JOB_10,MES_EQ_008,REC_10
LOT_008,WAF_008_11,1.046,2.099,1.489,1.478,5,0.196,0.108,2.5,0.5,3.0,0.0,MEAS_EQ_008,JOB_11,MES_EQ_008,REC_11
LOT_008,WAF_008_12,1.157,2.104,1.638,1.639,7,0.124,0.128,2.5,0.5,3.0,0.0,MEAS_EQ_008,JOB_12,MES_EQ_008,REC_12
LOT_008,WAF_008_13,1.178,2.474,1.909,1.909,6,0.068,0.24,2.5,0.5,3.0,0.0,MEAS_EQ_008,JOB_13,MES_EQ_008,REC_13
LOT_008,WAF_008_14,,,,,,,,2.5,0.5,3.0,0.0,,,,
LOT_008,WAF_008_15,,,,,,,,2.5,0.5,3.0,0.0,,,,
LOT_008,WAF_008_16,,,,,,,,2.5,0.5,3.0,0.0,,,,
LOT_008,WAF_008_17,1.036,1.93,1.474,1.474,20,0.062,0.129,2.5,0.5,3.0,0.0,MEAS_EQ_008,JOB_17,MES_EQ_008,REC_17
LOT_008,WAF_008_18,,,,,,,,2.5,0.5,3.0,0.0,,,,
LOT_008,WAF_008_19,0.979,1.898,1.379,1.422,16,0.07,0.136,2.5,0.5,3.0,0.0,MEAS_EQ_008,JOB_19,MES_EQ_008,REC_19
LOT_008,WAF_008_20,,,,,,,,2.5,0.5,3.0,0.0,,,,
LOT_008,WAF_008_21,1.199,2.259,1.649,1.648,20,0.165,0.257,2.5,0.5,3.0,0.0,MEAS_EQ_008,JOB_21,MES_EQ_008,REC_21
LOT_008,WAF_008_22,0.984,1.898,1.416,1.418,20,0.064,0.158,2.5,0.5,3.0,0.0,MEAS_EQ_008,JOB_22,MES_EQ_008,REC_22
LOT_008,WAF_008_23,1.035,2.214,1.549,1.533,17,0.109,0.256,2.5,0.5,3.0,0.0,MEAS_EQ_008,JOB_23,MES_EQ_008,REC_23
LOT_008,WAF_008_24,0.841,1.907,1.283,1.283,14,0.09,0.229,2.5,0.5,3.0,0.0,MEAS_EQ_008,JOB_24,MES_EQ_008,REC_24
LOT_008,WAF_008_25,1.095,2.1,1.534,1.555,6,0.198,0.275,2.5,0.5,3.0,0.0,MEAS_EQ_008,JOB_25,MES_EQ_008,REC_25
LOT_009,,0.814,2.213,1.452,1.446,142,0.122,0.213,2.5,0.5,3.0,0.0,,,,
LOT_009,WAF_009_01,,,,,,,,2.5,0.5,3.0,0.0,,,,
LOT_009,WAF_009_02,1.072,1.915,1.455,1.496,11,0.108,0.189,2.5,0.5,3.0,0.0,MEAS_EQ_009,JOB_02,MES_EQ_009,REC_02
LOT_009,WAF_009_03,,,,,,,,2.5,0.5,3.0,0.0,,,,
